og_distance,og_popularity,d_shock_0.9,d_shock_0.91,d_shock_0.92,d_shock_0.93,d_shock_0.94,d_shock_0.95,d_shock_0.96,d_shock_0.97,d_shock_0.98,d_shock_0.99
6.58615,-22.5914,-1.90101e-11,-1.9146e-11,-1.92548e-11,-1.93425e-11,-1.94134e-11,-1.94702e-11,-1.95157e-11,-1.95524e-11,-1.95821e-11,-1.96059e-11
6.47114,-20.0723,-1.4273e-11,-1.53748e-11,-1.62823e-11,-1.70299e-11,-1.76457e-11,-1.8153e-11,-1.85711e-11,-1.89153e-11,-1.91989e-11,-1.94325e-11
6.18154,-15.1976,9.94387e-10,7.40159e-10,5.91078e-10,4.62136e-10,3.50611e-10,2.54151e-10,1.70721e-10,8.93428e-11,3.54126e-11,-5.41123e-12
6.23957,-16.2079,3.65515e-10,2.87441e-10,2.20497e-10,1.63095e-10,1.13875e-10,6.62035e-11,3.4909e-11,8.07576e-12,-8.25429e-12,-2.35727e-11
6.24638,-16.1696,3.54355e-10,2.78045e-10,2.12682e-10,1.56695e-10,9.81371e-11,6.26432e-11,3.22407e-11,6.19971e-12,-9.19176e-12,-1.21643e-11
6.47543,-20.293,-1.49587e-11,-1.59217e-11,-1.67144e-11,-1.73668e-11,-1.79039e-11,-1.83455e-11,-1.87095e-11,-1.90088e-11,-1.9255e-11,-1.9458e-11
6.49224,-20.6396,-1.61657e-11,-1.68865e-11,-1.7478e-11,-1.79632e-11,-1.83613e-11,-1.86877e-11,-1.89557e-11,-1.91753e-11,-1.93559e-11,-1.95037e-11
6.80239,-27.8096,-1.96192e-11,-1.96207e-11,-1.96219e-11,-1.96227e-11,-1.96234e-11,-1.96239e-11,-1.96243e-11,-1.96243e-11,-1.96247e-11,-1.96247e-11
6.33866,-17.7854,4.22473e-11,2.30935e-11,8.20166e-12,-4.36429e-12,-1.4968e-11,-2.39155e-11,-2.10953e-11,-2.60409e-11,-3.02143e-11,-1.78773e-11
6.58271,-22.3604,-1.89191e-11,-1.90743e-11,-1.91995e-11,-1.93001e-11,-1.93812e-11,-1.94464e-11,-1.94991e-11,-1.95415e-11,-1.95755e-11,-1.9603e-11
6.67099,-24.4371,-1.95057e-11,-1.95335e-11,-1.95552e-11,-1.95726e-11,-1.95861e-11,-1.9597e-11,-1.96057e-11,-1.96123e-11,-1.96176e-11,-1.96216e-11
6.34425,-17.9066,3.24945e-11,1.63745e-11,2.78488e-12,-3.38929e-12,-1.08888e-11,-1.72111e-11,-1.12881e-11,-1.39324e-11,-1.61613e-11,-1.80407e-11
6.24638,-16.1697,3.54354e-10,2.78044e-10,2.12681e-10,1.56694e-10,9.81368e-11,6.26432e-11,3.22407e-11,6.19949e-12,-9.19176e-12,-2.40123e-11
5.70378,-9.84372,1.3105e-07,1.12023e-07,9.46327e-08,7.87392e-08,6.42134e-08,5.09376e-08,3.88045e-08,2.77152e-08,1.75801e-08,8.31566e-09
7.04017,-34.8386,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
6.87469,-29.851,-1.96241e-11,-1.96243e-11,-1.96245e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96252e-11,-1.96252e-11
6.47114,-20.2298,-1.46507e-11,-1.56748e-11,-1.65181e-11,-1.72129e-11,-1.77853e-11,-1.8257e-11,-1.86453e-11,-1.89655e-11,-1.92291e-11,-1.94462e-11
6.93443,-31.4115,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96247e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11,-1.96252e-11
4.89906,-4.84584,6.52293e-06,5.74746e-06,5.00228e-06,4.28622e-06,3.59817e-06,2.93703e-06,2.30176e-06,1.69135e-06,1.10484e-06,5.41308e-07
6.55434,-21.8985,-1.84908e-11,-1.87361e-11,-1.89349e-11,-1.90958e-11,-1.92262e-11,-1.93316e-11,-1.94171e-11,-1.94866e-11,-1.95426e-11,-1.95881e-11
6.70452,-25.3232,-1.95708e-11,-1.95837e-11,-1.95937e-11,-1.96017e-11,-1.96079e-11,-1.96128e-11,-1.96165e-11,-1.96194e-11,-1.96219e-11,-1.96234e-11
6.70452,-25.3216,-1.95708e-11,-1.95837e-11,-1.95937e-11,-1.96017e-11,-1.96079e-11,-1.96128e-11,-1.96165e-11,-1.96194e-11,-1.96219e-11,-1.96234e-11
5.8998,-11.7722,2.56111e-08,2.15962e-08,1.79976e-08,1.47722e-08,1.18813e-08,9.29049e-09,6.96608e-09,4.88189e-09,3.0153e-09,1.17335e-09
6.3817,-18.49,-9.25038e-13,-5.10481e-12,-1.1545e-11,-1.69387e-11,-2.14562e-11,-1.28857e-11,-1.4748e-11,-1.63078e-11,-1.76144e-11,-1.87086e-11
