og_distance,og_popularity,xi_level_0,xi_level_0.25,xi_level_0.5,xi_level_0.75,xi_level_1
6.76311,-26.7885,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.2977,-17.1435,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.39693,-18.8232,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.55067,-21.8146,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.99768,-12.816,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.05036,-13.5487,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.55067,-21.8211,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.77799,-10.5235,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.39693,-18.5924,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.37682,-7.25204,-1.84798,-2.80128,-3.20216,-3.43419,-3.58236
6.8766,-29.7628,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.67099,-24.4152,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.74848,-26.4244,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.82721,-11.0219,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.84497,-29.0025,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
4.89906,-4.86875,-1.84798,-2.80129,-3.20216,-3.43418,-3.58235
6.49636,-20.7228,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.47543,-20.2317,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.49636,-20.7229,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.85508,-29.2226,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.7334,-25.6691,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.59221,-8.8935,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.75585,-26.6134,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.86693,-29.4849,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.04025,-13.4372,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.99768,-12.9181,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.7435,-26.2989,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.5085,-20.7941,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.95614,-32.3097,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.12457,-14.5521,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.05036,-13.5581,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.2041,-15.6649,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.59221,-8.89193,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.37682,-7.25227,-1.84798,-2.80128,-3.20216,-3.43419,-3.58236
5.53953,-8.47719,-1.84798,-2.80128,-3.20217,-3.43419,-3.58236
6.66224,-24.1523,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.29157,-17.0431,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
7.02758,-34.5794,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.05036,-13.5718,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.81121,-28.0009,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.95113,-12.2105,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.52811,-21.2087,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.68524,-24.7005,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.98472,-33.0433,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.14978,-14.8886,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.41654,-19.1862,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.70452,-25.3266,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.93878,-12.0697,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.78659,-27.338,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.68524,-24.6976,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.60956,-23.0266,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.19296,-6.24371,-1.84798,-2.80128,-3.20216,-3.43419,-3.58236
6.2041,-15.6866,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.06997,-13.8241,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.41654,-19.1996,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.31567,-17.4384,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.28536,-16.9434,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.93878,-12.1351,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.18154,-15.3353,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.93878,-12.2279,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.52811,-21.3652,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.49224,-20.6232,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.98626,-33.1219,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.88421,-30.1247,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.2041,-15.6864,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.74848,-26.3425,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.8998,-11.6204,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.86693,-29.6285,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.51095,-8.26474,-1.84798,-2.80128,-3.20217,-3.43419,-3.58236
5.85752,-11.3395,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.83674,-28.7739,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.95113,-12.2875,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
7.14338,-38.643,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
6.04025,-13.4263,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
5.77799,-10.5217,-1.84798,-2.80129,-3.20217,-3.43419,-3.58236
